episode,episode_length,episode_reward,fps,step,total_time
1876,942.0,-20.0,7384.1164701436655,150080,11.007412465998641
episode,episode_length,episode_reward,fps,step,total_time
856,850.5,-21.0,11357.574837801605,68480,6.029469552999217
1860,864.75,-20.75,16043.047417494601,148800,11.036000446998514
episode,episode_length,episode_reward,fps,step,total_time
2836,856.0,-20.0,4919.832221561783,226880,16.065590872996836
3844,856.0,-20.0,16115.072540372896,307520,21.069603288997314
4844,856.0,-20.0,15982.243838974644,387520,26.075159886997426
episode,episode_length,episode_reward,fps,step,total_time
3856,1078.0,-19.0,3835.4076149691373,308480,21.025152221998724
